timestamp,raw,dec_val,tail,dt_s
2026-03-16 13:06:03.081,J32J40,2,40,1.001
2026-03-16 13:06:04.082,J36J40,6,40,1.001
2026-03-16 13:06:05.081,J35J40,5,40,1.000
2026-03-16 13:06:06.081,J36J40,6,40,1.000
2026-03-16 13:06:07.082,J33J40,3,40,1.000
2026-03-16 13:06:08.082,J32J40,2,40,1.000
2026-03-16 13:06:09.082,J37J40,7,40,1.000
2026-03-16 13:06:10.083,J39J40,9,40,1.000
2026-03-16 13:06:11.083,J34J40,4,40,1.000
2026-03-16 13:06:12.085,J311J40,17,40,1.002
2026-03-16 13:06:13.083,J35J40,5,40,0.999
2026-03-16 13:06:14.084,J39J40,9,40,1.001
2026-03-16 13:06:15.084,J33J40,3,40,1.000
2026-03-16 13:06:16.084,J32J40,2,40,1.000
2026-03-16 13:06:17.084,J34J40,4,40,1.000
2026-03-16 13:06:18.085,J34J40,4,40,1.001
2026-03-16 13:06:19.085,J32J40,2,40,0.999
2026-03-16 13:06:20.085,J32J40,2,40,1.000
2026-03-16 13:06:21.086,J38J40,8,40,1.001
2026-03-16 13:06:22.087,J39J40,9,40,1.000
2026-03-16 13:06:23.086,J33J40,3,40,0.999
2026-03-16 13:06:24.087,J34J40,4,40,1.001
2026-03-16 13:06:25.088,J37J40,7,40,1.000
2026-03-16 13:06:26.088,J35J40,5,40,1.000
2026-03-16 13:06:27.087,J34J40,4,40,1.000
2026-03-16 13:06:28.087,J32J40,2,40,1.000
2026-03-16 13:06:29.088,J35J40,5,40,1.000
2026-03-16 13:06:30.088,J37J40,7,40,1.000
2026-03-16 13:06:31.088,J37J40,7,40,1.000
2026-03-16 13:06:32.088,J38J40,8,40,1.000
2026-03-16 13:06:33.089,J34J40,4,40,1.001
2026-03-16 13:06:34.089,J34J40,4,40,1.000
2026-03-16 13:06:35.090,J35J40,5,40,1.001
2026-03-16 13:06:36.090,J32J40,2,40,1.000
2026-03-16 13:06:37.090,J33J40,3,40,1.000
2026-03-16 13:06:38.091,J37J40,7,40,1.001
2026-03-16 13:06:39.090,J31J40,1,40,0.999
2026-03-16 13:06:40.091,J33J40,3,40,1.000
2026-03-16 13:06:41.091,J33J40,3,40,1.000
2026-03-16 13:06:42.091,J36J40,6,40,1.000
2026-03-16 13:06:43.091,J36J40,6,40,1.000
2026-03-16 13:06:44.092,J35J40,5,40,1.001
2026-03-16 13:06:45.094,J32J40,2,40,1.002
2026-03-16 13:06:46.092,J34J40,4,40,0.999
2026-03-16 13:06:47.093,J32J40,2,40,1.000
2026-03-16 13:06:48.092,J34J40,4,40,1.000
2026-03-16 13:06:49.093,J34J40,4,40,1.000
2026-03-16 13:06:50.093,J33J40,3,40,1.000
2026-03-16 13:06:51.095,J34J40,4,40,1.002
2026-03-16 13:06:52.096,J32J40,2,40,1.001
2026-03-16 13:06:53.094,J35J40,5,40,0.999
2026-03-16 13:06:54.095,J33J40,3,40,1.000
2026-03-16 13:06:55.094,J37J40,7,40,1.000
2026-03-16 13:06:56.094,J33J40,3,40,1.000
2026-03-16 13:06:57.095,J34J40,4,40,1.000
2026-03-16 13:06:58.095,J36J40,6,40,1.000
2026-03-16 13:06:59.095,J34J40,4,40,1.000
2026-03-16 13:07:00.095,J36J40,6,40,1.000
2026-03-16 13:07:01.096,J35J40,5,40,1.000
2026-03-16 13:07:02.097,J37J40,7,40,1.001
2026-03-16 13:07:03.097,J33J40,3,40,1.000
2026-03-16 13:07:04.096,J32J40,2,40,1.000
2026-03-16 13:07:05.097,J34J40,4,40,1.000
2026-03-16 13:07:06.097,J34J40,4,40,1.000
2026-03-16 13:07:07.097,J35J40,5,40,1.000
2026-03-16 13:07:08.098,J33J40,3,40,1.000
2026-03-16 13:07:09.098,J34J40,4,40,1.000
2026-03-16 13:07:10.098,J37J40,7,40,1.000
2026-03-16 13:07:11.098,J36J40,6,40,1.000
2026-03-16 13:07:12.099,J34J40,4,40,1.000
2026-03-16 13:07:13.099,J35J40,5,40,1.000
2026-03-16 13:07:14.100,J36J40,6,40,1.001
2026-03-16 13:07:15.099,J34J40,4,40,1.000
2026-03-16 13:07:16.100,J34J40,4,40,1.000
2026-03-16 13:07:17.100,J31J40,1,40,1.000
2026-03-16 13:07:18.101,J31J40,1,40,1.001
2026-03-16 13:07:19.101,J33J40,3,40,1.001
2026-03-16 13:07:20.101,J32J40,2,40,1.000
2026-03-16 13:07:21.102,J37J40,7,40,1.001
2026-03-16 13:07:22.102,J34J40,4,40,1.001
2026-03-16 13:07:23.102,J35J40,5,40,1.000
2026-03-16 13:07:24.103,J33J40,3,40,1.001
2026-03-16 13:07:25.103,J37J40,7,40,1.000
2026-03-16 13:07:26.104,J33J40,3,40,1.000
2026-03-16 13:07:27.105,J37J40,7,40,1.001
2026-03-16 13:07:28.104,J35J40,5,40,0.999
2026-03-16 13:07:29.104,J38J40,8,40,1.000
2026-03-16 13:07:30.105,J37J40,7,40,1.001
2026-03-16 13:07:31.104,J38J40,8,40,0.999
2026-03-16 13:07:32.105,J33J40,3,40,1.000
2026-03-16 13:07:33.105,J30J40,0,40,1.000
2026-03-16 13:07:34.105,J37J40,7,40,1.000
2026-03-16 13:07:35.105,J33J40,3,40,1.000
2026-03-16 13:07:36.107,J35J40,5,40,1.001
2026-03-16 13:07:37.106,J33J40,3,40,0.999
2026-03-16 13:07:38.106,J34J40,4,40,1.000
2026-03-16 13:07:39.106,J34J40,4,40,1.000
2026-03-16 13:07:40.107,J37J40,7,40,1.000
2026-03-16 13:07:41.107,J33J40,3,40,1.000
2026-03-16 13:07:42.108,J34J40,4,40,1.001
2026-03-16 13:07:43.108,J34J40,4,40,1.000
2026-03-16 13:07:44.108,J35J40,5,40,1.000
2026-03-16 13:07:45.108,J31J40,1,40,1.000
2026-03-16 13:07:46.109,J31J40,1,40,1.001
2026-03-16 13:07:47.109,J35J40,5,40,1.000
2026-03-16 13:07:48.110,J37J40,7,40,1.001
2026-03-16 13:07:49.109,J32J40,2,40,0.999
2026-03-16 13:07:50.110,J34J40,4,40,1.001
2026-03-16 13:07:51.110,J34J40,4,40,1.001
2026-03-16 13:07:52.110,J36J40,6,40,0.999
2026-03-16 13:07:53.110,J36J40,6,40,1.001
2026-03-16 13:07:54.111,J34J40,4,40,1.000
2026-03-16 13:07:55.111,J34J40,4,40,1.000
2026-03-16 13:07:56.111,J37J40,7,40,1.000
2026-03-16 13:07:57.111,J34J40,4,40,1.000
2026-03-16 13:07:58.113,J33J40,3,40,1.002
2026-03-16 13:07:59.112,J38J40,8,40,0.999
2026-03-16 13:08:00.112,J36J40,6,40,1.000
