tally_name,mean_per_source,std_dev_per_source,relative_error,relative_error_percent,target_reached
gamma_dose_P5_x0_h45,9.895986967898829e-05,3.6698356707868343e-06,0.037084079462627206,3.708407946262721,True
gamma_dose_P5_x6_h45,7.216086146346728e-05,3.0836222144068053e-06,0.042732613661603025,4.273261366160303,True
gamma_dose_P5_x0_h85,0.0001351536837827609,4.419607139418205e-06,0.03270060434698957,3.270060434698957,True
gamma_dose_P5_x6_h85,0.00010715549384449937,3.905916251244559e-06,0.03645091923063413,3.6450919230634127,True
common_gamma_flux_P1_x0_h42,0.00011483456575129563,1.3268126397908509e-06,0.011554122498833771,1.1554122498833772,True
common_gamma_flux_P1_x4_h42,9.644080690314316e-05,1.2097820170324498e-06,0.012544295883457826,1.2544295883457826,True
common_gamma_flux_P1_x57_h42,1.878736089514338e-05,5.404494052904516e-07,0.02876664840297821,2.876664840297821,True
common_gamma_flux_P1_x114_h42,7.55975073351383e-06,3.5084765136405036e-07,0.04640994971020344,4.640994971020343,True
common_gamma_flux_P1_x176_h42,3.903166591043245e-06,2.4759863769444997e-07,0.06343532409367938,6.343532409367938,True
common_gamma_flux_P1_x199_h42,2.8588196018567907e-06,2.1482817240565436e-07,0.0751457602522819,7.514576025228189,True
common_gamma_flux_P1_x320_h42,1.3594513069016105e-06,1.4790259083514213e-07,0.10879579877872485,10.879579877872485,True
common_gamma_flux_P1_x420_h42,6.701636671222014e-07,1.0404529568079015e-07,0.1552535608616006,15.52535608616006,True
common_gamma_flux_P1_x0_h85,2.6031489047481102e-05,6.206909844263934e-07,0.02384385247014725,2.384385247014725,True
common_gamma_flux_P1_x4_h85,2.636864289335517e-05,6.274827955055759e-07,0.02379655252048258,2.379655252048258,True
common_gamma_flux_P1_x7_h85,2.5510373321780222e-05,6.09874305955545e-07,0.023906914189877695,2.3906914189877693,True
common_gamma_flux_P1_x57_h85,1.4619995512861169e-05,4.685696441512215e-07,0.03204991709737681,3.204991709737681,True
common_gamma_flux_P1_x114_h85,6.573008371176627e-06,3.142204070013201e-07,0.04780465644608206,4.780465644608206,True
common_gamma_flux_P1_x176_h85,3.7533349073062107e-06,2.4197112380860257e-07,0.06446830080033188,6.4468300800331875,True
common_gamma_flux_P1_x199_h85,2.668173375886655e-06,2.064991757661173e-07,0.07739346237104851,7.739346237104851,True
common_gamma_flux_P1_x320_h85,1.3184336767856295e-06,1.4270093318872113e-07,0.10823520037551616,10.823520037551617,True
common_gamma_flux_P1_x420_h85,7.933591581516253e-07,1.1396924948333576e-07,0.14365404156783448,14.365404156783448,True
common_gamma_flux_P2_x2_h55,3.9851390433276065e-06,2.449515755912008e-07,0.06146625573863674,6.146625573863674,True
common_gamma_flux_P2_x57_h55,2.8897526131246106e-06,2.083192888277676e-07,0.07208896978988026,7.208896978988026,True
common_gamma_flux_P2_x114_h55,1.0891807653869923e-06,1.2821981042409337e-07,0.11772133193936465,11.772133193936465,True
common_gamma_flux_P2_x176_h55,9.096208698050377e-07,1.198011463376153e-07,0.13170448294935524,13.170448294935525,True
common_gamma_flux_P2_x199_h55,6.098221757680791e-07,9.371337496498943e-08,0.15367328163649704,15.367328163649704,True
common_gamma_flux_P2_x321_h55,4.92577750393254e-07,8.776834534853025e-08,0.17818170893520785,17.818170893520787,True
common_gamma_flux_P2_x420_h55,1.9514389930886733e-07,4.9103381134634026e-08,0.25162652436761457,25.162652436761455,True
common_gamma_flux_P2_x0_h85,3.995732935803595e-06,2.3658253546044047e-07,0.05920879579827589,5.920879579827589,True
common_gamma_flux_P2_x5_h85,4.171601797763077e-06,2.4505327410848677e-07,0.058743208481665435,5.874320848166543,True
common_gamma_flux_P2_x30_h85,2.994504661838898e-06,2.1521904574310396e-07,0.07187133434313636,7.187133434313636,True
common_gamma_flux_P2_x57_h85,2.3624734349026443e-06,1.878057291538028e-07,0.07949538241539725,7.949538241539725,True
common_gamma_flux_P2_x114_h85,1.3254471903762223e-06,1.387373129575423e-07,0.10467207895183084,10.467207895183083,True
common_gamma_flux_P2_x156_h85,8.355465364649514e-07,1.1186273875903893e-07,0.13387972288450892,13.387972288450891,True
common_gamma_flux_P2_x176_h85,7.577159451565011e-07,1.0252762133781732e-07,0.1353114211112991,13.53114211112991,True
common_gamma_flux_P2_x199_h85,6.244022316986374e-07,9.919678219412746e-08,0.15886679636661513,15.886679636661514,True
common_gamma_flux_P2_x300_h85,3.5335497734247265e-07,7.204449334487744e-08,0.20388702003495968,20.38870200349597,True
common_gamma_flux_P2_x321_h85,2.5303279648593943e-07,6.336418648860756e-08,0.25041886810166364,25.041886810166364,True
