position,neutron_point_id,gamma_point_id,neutron_distance_cm,gamma_distance_cm,distance_difference_cm,neutron_height_cm,gamma_height_cm,height_difference_cm,geometry_x_cm,geometry_y_cm,geometry_z_cm,geometry_separation_cm,neutron_dose_rate_uSv_h,neutron_dose_rate_uncertainty_uSv_h,gamma_dose_rate_uSv_h,gamma_dose_rate_uncertainty_uSv_h,total_dose_rate_uSv_h,total_dose_rate_uncertainty_uSv_h,total_relative_uncertainty_percent,neutron_fraction,gamma_fraction,neutron_fraction_percent,gamma_fraction_percent,gamma_to_neutron_dose_ratio,match_score,dominant_component,match_method,height_tolerance_cm,distance_tolerance_cm,log10_total_dose_rate_uSv_h
P3,P3_x5_h85,P3_x5_h64,5.0,5.0,0.0,85.0,64.0,21.0,48.5,0.0,44.0,21.0,34.508319467554074,0.9116323849114012,4.875,0.1031738649595161,39.383319467554074,0.9174521522291685,2.3295450069540506,0.8762166301391566,0.1237833698608434,87.62166301391566,12.37833698608434,0.14127028134718775,0.84,neutron dominated,standard_approx_match,25.0,25.0,1.5953123183456577
P3,P3_x57_h85,P3_x57_h64,57.0,57.0,0.0,85.0,64.0,21.0,100.5,0.0,44.0,21.0,17.13727121464226,0.5146363290752796,1.0139999999999998,0.052985083105715,18.15127121464226,0.5173567146909365,2.8502505889152014,0.9441361440744698,0.055863855925530254,94.41361440744699,5.586385592553025,0.05916928006213893,0.84,neutron dominated,standard_approx_match,25.0,25.0,1.258907046020706
P3,P3_x100_h85,P3_x114_h64,100.0,114.0,14.0,85.0,64.0,21.0,143.5,0.0,44.0,25.238858928247925,12.295341098169716,0.4667657289114995,0.325,0.0351923642879193,12.620341098169716,0.4680905341816442,3.7090165039162826,0.9742479226613666,0.025752077338633394,97.42479226613668,2.5752077338633392,0.026432776236551866,1.4,neutron dominated,standard_approx_match,25.0,25.0,1.1010710930262597
P3,P3_x114_h85,P3_x114_h64,114.0,114.0,0.0,85.0,64.0,21.0,157.5,0.0,44.0,21.0,10.348585690515806,0.432098816196599,0.325,0.0351923642879193,10.673585690515806,0.43352957161268235,4.061705074405337,0.9695510010015862,0.030448998998413836,96.95510010015862,3.0448998998413837,0.03140525765736796,0.84,neutron dominated,standard_approx_match,25.0,25.0,1.02831034107438
P3,P3_x176_h85,P3_x176_h88,176.0,176.0,0.0,85.0,88.0,3.0,219.5,0.0,44.0,3.0,6.383333333333334,0.3764115830268311,0.1259999999999999,0.0277468884086234,6.509333333333334,0.37743286774355717,5.798333691267264,0.9806431790249898,0.019356820975010222,98.06431790249897,1.9356820975010223,0.019738903394255856,0.12,neutron dominated,standard_approx_match,25.0,25.0,0.8135365116894698
P3,P3_x200_h85,P3_x176_h88,200.0,176.0,24.0,85.0,88.0,3.0,243.5,0.0,44.0,24.186773244895647,4.65,0.3148897219759979,0.1259999999999999,0.0277468884086234,4.776,0.3161098334795706,6.618715106356168,0.9736180904522614,0.026381909547738672,97.36180904522615,2.6381909547738673,0.027096774193548362,1.08,neutron dominated,standard_approx_match,25.0,25.0,0.6790643181213126
P4,P4_x0_h42,P4_x0_h58,0.0,0.0,0.0,42.0,58.0,16.0,43.20710678118655,34.207106781186546,1.0,16.0,43.141666666666666,0.702371029275019,1.571,0.0613533377529077,44.712666666666664,0.7050455976873212,1.5768363871997226,0.9648645424860964,0.035135457513903595,96.48645424860966,3.5135457513903594,0.03641491211126135,0.64,neutron dominated,special_P4_P5_match,25.0,40.0,1.6504305719946832
P4,P4_x20_h42,P4_x20_h58,20.0,20.0,0.0,42.0,58.0,16.0,57.3492424049175,48.3492424049175,1.0,16.0,27.433333333333334,0.6694862467138862,1.142,0.0590461181912558,28.575333333333333,0.6720850233508424,2.3519761449881336,0.9600354618202179,0.03996453817978209,96.0035461820218,3.9964538179782094,0.04162818955042527,0.64,neutron dominated,special_P4_P5_match,25.0,40.0,1.4559913051734594
P4,P4_x71_h42,P4_x71_h58,71.0,71.0,0.0,42.0,58.0,16.0,93.41168824543142,84.41168824543142,1.0,16.0,71.89600665557404,2.958208605428589,0.4949999999999999,0.0407734692292465,72.39100665557405,2.958489585755668,4.086819236858709,0.9931621340430429,0.006837865956957035,99.31621340430428,0.6837865956957034,0.006884944283085894,0.64,neutron dominated,special_P4_P5_match,25.0,40.0,1.859684615886927
P4,P4_x85_h45,P4_x71_h58,85.0,71.0,14.0,45.0,58.0,13.0,103.3111831820431,94.3111831820431,4.0,19.104973174542824,12.922148209825146,0.925974822327189,0.4949999999999999,0.0407734692292465,13.417148209825145,0.926872077137324,6.908115365816648,0.9631069142071845,0.03689308579281549,96.31069142071846,3.689308579281549,0.03830632430168497,0.87,neutron dominated,special_P4_P5_match,25.0,40.0,1.12766021714822
P4,P4_x152_h113,P4_x138_h105,152.0,138.0,14.0,113.0,105.0,8.0,150.68733752154176,141.68733752154176,72.0,16.12451549659709,4.487510407993339,0.2272928988663007,0.07,0.0245935235852292,4.557510407993339,0.22861956013732426,5.016325574075538,0.9846407372153823,0.015359262784617718,98.46407372153823,1.5359262784617718,0.015598849614992116,0.6699999999999999,neutron dominated,special_P4_P5_match,25.0,40.0,0.6587276691271047
P5,P5_x0_h45,P5_x0_h40,0.0,0.0,0.0,45.0,40.0,5.0,0.0,34.5,4.0,5.0,250.8745892661555,20.600378424513504,14.231,0.1753733675050179,265.1055892661555,20.60112489771351,7.770913074575278,0.9463195022051661,0.053680497794833894,94.63195022051661,5.368049779483389,0.05672555375826518,0.2,neutron dominated,special_P4_P5_match,25.0,15.0,2.4234188841339255
P5,P5_x6_h45,P5_x6_h40,6.0,6.0,0.0,45.0,40.0,5.0,0.0,40.5,4.0,5.0,193.56666666666663,2.222167454342729,11.202,0.1580231592671613,204.76866666666663,2.2277790541265126,1.0879491918326598,0.945294364697724,0.054705635302276075,94.52943646977239,5.470563530227608,0.0578715343550887,0.2,neutron dominated,special_P4_P5_match,25.0,15.0,2.31126350242664
P5,P5_x0_h85,P5_x6_h85,0.0,6.0,6.0,85.0,85.0,0.0,0.0,34.5,44.0,6.0,51.51338538761852,0.6995333122740179,8.622,0.1308658465107363,60.13538538761852,0.711668971337117,1.1834446004625505,0.856623518009827,0.143376481990173,85.66235180098269,14.337648199017302,0.16737397348519706,0.4,neutron dominated,special_P4_P5_match,25.0,15.0,1.7791300985635372
P5,P5_x6_h85,P5_x6_h85,6.0,6.0,0.0,85.0,85.0,0.0,0.0,40.5,44.0,0.0,44.66666666666666,0.9139878396893372,8.622,0.1308658465107363,53.28866666666666,0.9233090711581649,1.7326556074928348,0.8382019941701174,0.16179800582988255,83.82019941701175,16.179800582988257,0.1930298507462687,0.0,neutron dominated,special_P4_P5_match,25.0,15.0,1.726634853914144
