position,distance_cm,height_cm,neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],total_dose_rate [uSv/h],u_mc_total_dose_rate [uSv/h],simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],analysis_height_interval,neutron_component_conversion_factor,u_mc_neutron_component_conversion_factor,gamma_component_conversion_factor,u_mc_gamma_component_conversion_factor,theory_neutron_ap_fraction,theory_gamma_ap_fraction
P2,30.0,85.0,8.504392679414336,1.0358331445134006,0.0143494250914539,0.0030346715995705,8.51874210450579,1.0358375898297167,8.504392679414336,1.0358331445134006,0.0074059547163935,0.0009025901143534,upper,1.0,0.1722508986294013,1.9375523671094876,0.4729318191463809,0.9983155464838095,0.00168445351619039
P2,57.0,85.0,6.165006953331356,0.8163827189579324,0.0062812005445831,0.0014912733438734,6.171288153875939,0.8163840809994598,6.165006953331356,0.8163827189579324,0.0043599710422892,0.0008233932125879,upper,1.0,0.18727302693688896,1.4406518950834957,0.43704965915010313,0.9989821897166415,0.0010178102833584475
P2,114.0,85.0,3.1645504754910427,0.6166796878622083,0.0044384321830748,0.002299951971508,3.168988907674118,0.6166839767667893,3.1645504754910427,0.6166796878622083,0.0024407032605738,0.0007630939457228,upper,1.0,0.27558946680394336,1.8185054507737828,1.1005686828190806,0.9985994169394765,0.0014005830605233614
P2,156.0,85.0,1.79158716033213,0.4375327626403327,0.0030746740569474,0.0010404299491235,1.7946618343890774,0.4375339996824941,1.79158716033213,0.4375327626403327,0.0026925111157614,0.0010308144645589,upper,1.0,0.345372405322339,1.1419355110361096,0.5834788940314507,0.9982867669005765,0.0017132330994234647
P2,176.0,85.0,1.6213921723384952,0.4286753011396153,0.0055732626803908,0.0027033426041604,1.626965435018886,0.428683825060353,1.6213921723384952,0.4286753011396153,0.0009614397439866,0.0005270996028723,upper,1.0,0.3738999330751988,5.796788322148327,4.243335965953234,0.9965744430948368,0.0034255569051632032
P2,199.0,85.0,2.210895015725517,0.5442624381933991,0.0020099537197352,0.0008966726072871,2.2129049694452525,0.5442631768271562,2.210895015725517,0.5442624381933991,0.0012706246898325,0.0005139938642838,upper,1.0,0.34814105423760755,1.5818626348274105,0.9526129197834491,0.9990917125915989,0.000908287408401035
P2,300.0,85.0,0.766848138035467,0.3258335826986156,0.0003691605521876,0.0001520997837382,0.7672172985876546,0.325833618198859,0.766848138035467,0.3258335826986156,0.0011614721385798,0.0008153619988447,upper,1.0,0.6008989901305408,0.3178384912779692,0.2587156364684916,0.9995188318187466,0.00048116818125344105
P2,321.0,85.0,0.7660150711154594,0.3292314998435399,0.000511017620293,0.000222940255093,0.7665260887357525,0.3292315753259158,0.7660150711154594,0.3292314998435399,0.0006571987625271,0.0002776170656592,upper,1.0,0.6078257070858472,0.7775693586640433,0.4721913371070141,0.9993333330361451,0.0006666669638548534
P3,0.0,45.0,58.0302826722592,2.4170139480192385,0.0411090585371057,0.0044227143887707,58.0713917307963,2.417017994414214,58.0302826722592,2.4170139480192385,0.0408962023099728,0.0022947766829074,lower,1.0,0.05890327856989348,1.0052047920127047,0.12197030093766838,0.9992920944838437,0.0007079055161563284
P3,5.0,45.0,51.18670209467823,2.5758832614532423,0.0364305985927589,0.0041398869595721,51.22313269327098,2.5758865882059,51.18670209467823,2.5758832614532423,0.0322697173959081,0.0020976931506048,lower,1.0,0.07116787943671322,1.1289407386436676,0.1477971089132485,0.9992887862050355,0.0007112137949646463
P3,57.0,45.0,10.434414041700515,1.1611529479647065,0.0067530904825721,0.0015030319511412,10.44116713218309,1.1611539207496024,10.434414041700515,1.1611529479647065,0.0060526739189927,0.0013714949667787,lower,1.0,0.1573752239884828,1.1157201879621437,0.35437366018141797,0.9993532245584156,0.0006467754415841949
P3,114.0,45.0,3.75043461679999,0.5778815281988648,0.002463926754498,0.000691585393914,3.752898543554488,0.5778819420295226,3.75043461679999,0.5778815281988648,0.0024453637272234,0.0006259934565724,lower,1.0,0.2179075168949435,1.0075911109124358,0.3827726086957149,0.9993434603344847,0.000656539665515268
P3,176.0,45.0,2.700983750599792,0.6434539595378229,0.0018030167067779,0.0004163197050094,2.702786767306569,0.6434540942188487,2.700983750599792,0.6434539595378229,0.0012002212802585,0.0003461673736242,lower,1.0,0.3369073642664394,1.502236909505197,0.5550180864051504,0.9993329045677644,0.0006670954322359198
P3,199.0,45.0,1.4788339071343295,0.413583084970612,0.000406534010655,0.0002039398150783,1.4792404411449849,0.4135831352524625,1.4788339071343295,0.413583084970612,0.0010640586934196,0.0006380173925402,lower,1.0,0.39551081775433955,0.38205976152359455,0.2986883202871772,0.9997251738126219,0.00027482618737784657
P3,225.0,45.0,0.6396653227800286,0.2183323423794822,0.0005106475102503,0.0001870970149664,0.6401759702902791,0.2183324225446245,0.6396653227800286,0.2183323423794822,0.0012332736292768,0.0006488327944846,lower,1.0,0.48270329608586693,0.4140585658591818,0.2654598304178958,0.9992023325867435,0.0007976674132563175
P3,300.0,45.0,0.3817072208829473,0.1838535330685317,0.0001502473643337,7.374957881195064e-05,0.381857468247281,0.1838535478601979,0.3817072208829473,0.1838535330685317,0.0005579026498794,0.0001948928912508,lower,1.0,0.6811717089194412,0.26930749363921913,0.16224976012611317,0.9996065354829294,0.00039346451707055185
P3,0.0,85.0,22.009097120742467,1.6173725044475893,0.0369513963106757,0.0037044567016635,22.046048517053144,1.6173767468164373,22.009097120742467,1.6173725044475893,0.0367298679782088,0.0014902630582532,upper,1.0,0.10392566849293627,1.0060312858352316,0.1088036187583684,0.9983238993472189,0.0016761006527810601
