point_name,position,distance_cm,height_cm,height_group,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],gamma_flux [photon/cm2/s],u_mc_gamma_flux [photon/cm2/s],rel_u_mc_simulated_gca_cs137_equivalent_proxy [%],simulated_gca_proxy_mc_uncertainty_class,simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],simulated_combined_instrument_indication [uSv/h],u_mc_simulated_combined_instrument_indication [uSv/h],simulated_gamma_instrument_fraction,notebook_2_5_group_1_target_reached,notebook_2_5_group_1_configured_target_percent,notebook_2_5_group_1_max_relative_error_percent,notebook_2_5_gamma_input_convergence_status,instrument_proxy_status,pairing_method_for_notebook_6,neutron_proxy_response_reference,gamma_proxy_response_reference
P2_x176_h85,P2,176.0,85.0,Upper height group (85–113 cm),174.55219138658774,-165.55219138658774,44.0,168.29783190699274,-159.29783190699274,44.0,1.6213921723384952,0.42867530113961533,0.084286144041748,0.0462090248816095,54.82398727212106,very high,0.0009614397439866938,0.0005270996028723777,1.622353612082482,0.4286756252006069,0.0005926203367911713,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x199_h85,P2,199.0,85.0,Upper height group (85–113 cm),190.81564735387835,-181.81564735387835,44.0,184.56128787428327,-175.56128787428332,44.0,2.210895015725517,0.5442624381933991,0.1113913339864045,0.0450600894674494,40.45206018714984,very high,0.0012706246898325185,0.0005139938642838359,2.21216564041535,0.5442626808976674,0.000574380447204645,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x300_h85,P2,300.0,85.0,Upper height group (85–113 cm),262.2334322537196,-253.23343225371963,44.0,255.97907277412463,-246.97907277412463,44.0,0.766848138035467,0.3258335826986156,0.1018223020060348,0.0714800062204887,70.20073678579003,very high,0.001161472138579845,0.0008153619988447234,0.7680096101740469,0.32583460287299865,0.001512314589809145,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x321_h85,P2,321.0,85.0,Upper height group (85–113 cm),277.0826746586372,-268.0826746586372,44.0,270.82831517904214,-261.82831517904214,44.0,0.7660150711154594,0.32923149984353994,0.0576143745969266,0.0243377415287403,42.24248149703706,very high,0.0006571987625271581,0.00027761706565929085,0.7666722698779865,0.3292316168906959,0.0008572095122623245,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P3_x0_h45,P3,0.0,45.0,Lower height group (42–55 cm),53.25,0.0,4.0,44.405,0.0,4.0,58.0302826722592,2.4170139480192385,3.585230608800943,0.2011752470697302,5.611221955315504,moderate,0.040896202309972825,0.002294776682907441,58.07117887456917,2.4170150373796955,0.000704242674292984,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P3_x5_h45,P3,5.0,45.0,Lower height group (42–55 cm),58.25,0.0,4.0,49.405,0.0,4.0,51.186702094678225,2.5758832614532423,2.828976090940188,0.1838976058074366,6.500500530788144,moderate,0.03226971739590811,0.0020976931506048405,51.21897181207413,2.5758841155905183,0.0006300344628999559,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P3_x57_h45,P3,57.0,45.0,Lower height group (42–55 cm),110.25,0.0,4.0,101.405,0.0,4.0,10.434414041700517,1.1611529479647063,0.5306172840936959,0.1202342872191979,22.659323550788645,high,0.0060526739189927905,0.001371494966778775,10.44046671561951,1.161153757934569,0.0005797321215475607,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P3_x114_h45,P3,114.0,45.0,Lower height group (42–55 cm),167.25,0.0,4.0,158.405,0.0,4.0,3.75043461679999,0.5778815281988648,0.2143766997737899,0.0548787118276061,25.59919612789735,very high,0.00244536372722349,0.0006259934565724014,3.7528799805272137,0.5778818672542538,0.0006515965711431996,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P3_x176_h45,P3,176.0,45.0,Lower height group (42–55 cm),229.25,0.0,4.0,220.405,0.0,4.0,2.7009837505997916,0.6434539595378229,0.1052193071303357,0.0303473132854502,28.841962671222344,very high,0.0012002212802585963,0.00034616737362425115,2.70218397188005,0.6434540526539193,0.00044416712287118624,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P3_x199_h45,P3,199.0,45.0,Lower height group (42–55 cm),252.25,0.0,4.0,243.405,0.0,4.0,1.4788339071343297,0.413583084970612,0.0932823974288356,0.0559328092947328,59.96073303905326,very high,0.0010640586934196727,0.0006380173925402082,1.4798979658277494,0.413583577091743,0.0007190081465005015,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
