position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,neutron_dose_per_source [pSv/source],u_mc_neutron_dose_per_source [pSv/source],neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],rel_u_mc_neutron_dose_rate [%],neutron_dose_mc_uncertainty_class
P3,P3_x57_h85,57.0,85.0,110.25,0.0,44.0,neutron_dose_P3_x57_h85,8.0,0.00019050292734084463,2.4968453439554197e-05,7.503068279911689,0.9833970197507013,13.10659830170539,high
P3,P3_x100_h85,100.0,85.0,153.25,0.0,44.0,neutron_dose_P3_x100_h85,8.0,9.009168316644029e-05,1.7497831150429506e-05,3.5483131922720985,0.6891622281328047,19.422249130480843,high
P3,P3_x114_h85,114.0,85.0,167.25,0.0,44.0,neutron_dose_P3_x114_h85,8.0,0.00010312681386430451,1.7436524690757585e-05,4.0617093748339546,0.6867476376625224,16.90784776275622,high
P3,P3_x176_h85,176.0,85.0,229.25,0.0,44.0,neutron_dose_P3_x176_h85,8.0,4.148526311769894e-05,1.1258668349510267e-05,1.6339211482314075,0.4434291826713808,27.138958520205115,very high
P3,P3_x200_h85,200.0,85.0,253.25,0.0,44.0,neutron_dose_P3_x200_h85,8.0,3.6271813541378624e-05,1.0175996337006801e-05,1.428586413006994,0.40078751753817937,28.05483195759732,very high
P3,P3_x225_h85,225.0,85.0,278.25,0.0,44.0,neutron_dose_P3_x225_h85,8.0,1.934470932110099e-05,6.260806788426305e-06,0.7619025960245452,0.2465855064623224,32.36443972614821,very high
P3,P3_x300_h85,300.0,85.0,353.25,0.0,44.0,neutron_dose_P3_x300_h85,8.0,1.6109982251603687e-05,6.831085089568164e-06,0.6345009943373818,0.26904624809892613,42.4028095306446,very high
P3,P3_x400_h85,400.0,85.0,453.25,0.0,44.0,neutron_dose_P3_x400_h85,8.0,1.2335520022813339e-05,7.211422955314768e-06,0.48584161036953405,0.28402607552712555,58.460631914811415,very high
P4,P4_x0_h42,0.0,42.0,50.10139789775538,41.10139789775538,1.0,neutron_dose_P4_x0_h42,8.0,0.0004494511236182563,3.743826098751208e-05,17.701893173311774,1.4745276221812191,8.329773588309118,moderate
P4,P4_x20_h42,20.0,42.0,64.24353352148633,55.243533521486334,1.0,neutron_dose_P4_x20_h42,8.0,0.00032119732054483726,3.057387548191325e-05,12.650542755496488,1.2041698178835762,9.518720588967463,moderate
