scenario,particle,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,leakage_rate_per_s,leakage_std_per_s,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,relative_uncertainty_percent
full_geometry,photon,380189.3963205613,564936.9748123023,463446.91973628796,184747.57849174098,0.17199999999999965,52878.73724130715,116.54604404929867,307434.5188448096,677.593279356389,0.2204024720133761
full_geometry,photon,564936.9748123023,839459.9865193964,688652.2963442755,274523.01170709415,0.17199999999999965,40042.12444022442,102.59221917884776,232803.0490710727,596.4663905746975,0.2562107296080137
full_geometry,photon,839459.9865193964,1247383.5142429431,1023292.9922807536,407923.5277235467,0.17200000000000057,44776.97698655645,108.45037448740888,260331.26154974595,630.5254330663286,0.24220119754839484
full_geometry,photon,1247383.5142429431,1853531.6234148105,1520547.5297324953,606148.1091718674,0.17199999999999974,49318.7938387512,113.3744946193806,286737.17348111206,659.154038484772,0.22988091515388803
full_geometry,photon,1853531.6234148105,2754228.7033381634,2259435.770220976,900697.0799233529,0.17199999999999974,54471.281717939695,118.37531607188482,316693.498360115,688.2285818132849,0.21731692800042712
full_geometry,photon,2754228.7033381634,4092606.5973001095,3357376.142429545,1338377.893961946,0.17200000000000057,62026.02055295273,127.28924365384695,360616.39856367745,740.0537421735263,0.20521910404549948
full_geometry,photon,4092606.5973001095,6081350.012787176,4988844.874600122,1988743.4154870668,0.17199999999999974,90550.95724742732,154.08714444249878,526459.0537641131,895.8554909447618,0.17016622366725628
full_geometry,photon,6081350.012787176,9036494.737223005,7413102.4130091695,2955144.7244358286,0.17199999999999974,0.0,0.0,0.0,0.0,
full_geometry,photon,9036494.737223005,13427649.611378642,11015393.095414145,4391154.874155637,0.17200000000000057,0.0,0.0,0.0,0.0,
full_geometry,photon,13427649.611378642,19952623.149688788,16368165.214278085,6524973.538310146,0.17199999999999974,0.0,0.0,0.0,0.0,
