scenario,particle,side,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,leakage_rate_per_s,leakage_std_per_s,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,relative_uncertainty_percent
full_geometry,neutron,x_min,16218.100973589331,35754.71604506223,24080.564675705467,19536.6150714729,0.3433333333333337,59987.19999999998,155.90771646559213,174719.99999999977,454.10014504541346,0.25990163979247605
full_geometry,neutron,x_min,35754.71604506223,78825.48774020227,53088.444423098954,43070.771695140036,0.3433333333333329,49287.999998082785,151.5229267717482,143557.2815478141,441.3289129274225,0.3074235651226306
full_geometry,neutron,x_min,78825.48774020227,173780.08287493835,117039.73595386221,94954.59513473608,0.34333333333333454,122327.19998834995,235.57581223763992,356292.8155000472,686.1431424397255,0.19257843902261754
full_geometry,neutron,x_min,173780.08287493835,383118.6849557293,258027.89931041183,209338.60208079094,0.34333333333333194,245951.19999800005,317.60942004308396,716362.7184407797,925.0759807080153,0.12913513739541282
full_geometry,neutron,x_min,383118.6849557293,844630.3185839704,568852.9308438424,461511.63362824114,0.3433333333333337,239335.59999663738,318.5691781870756,697093.9805727295,927.871392777889,0.13310563835532677
full_geometry,neutron,x_min,844630.3185839704,1862087.1366628727,1254103.3655447527,1017456.8180789023,0.3433333333333336,148554.7999987624,251.9723178663188,432683.8834915407,733.8999549504425,0.1696157363265394
full_geometry,neutron,x_min,1862087.1366628727,4105190.671273096,2764818.754010117,2243103.534610223,0.3433333333333339,53312.40000000001,145.86301174039775,155278.83495145608,424.8437235157209,0.2736005352233209
full_geometry,neutron,x_min,4105190.671273096,9050376.921517164,6095368.972401719,4945186.250244068,0.3433333333333336,31782.40000000001,115.13881690025632,92570.0970873786,335.35577737938706,0.36227225414146286
full_geometry,neutron,x_min,9050376.921517164,19952623.149688788,13437959.669446567,10902246.228171624,0.34333333333333116,3164.000000000003,34.95333152383898,9215.533980582592,101.8058199723472,1.1047197068217114
full_geometry,neutron,y_max,0.001,0.0022046179206361,0.0014847955821041833,0.0012046179206361002,0.34333333333331656,0.0,0.0,0.0,0.0,
full_geometry,neutron,y_max,0.0022046179206361,0.0048603401759902,0.003273406948788313,0.0026557222553541,0.3433333333333486,0.0,0.0,0.0,0.0,
full_geometry,neutron,y_max,0.0048603401759902,0.010715193052376,0.007216611620833848,0.0058548528763858005,0.34333333333333227,1.2000000000000002,0.692820323027551,3.4951456310679725,2.0179232709540385,57.735026918962575
full_geometry,neutron,y_max,0.010715193052376,0.0236229066263446,0.015909871305561672,0.0129077135739686,0.3433333333333356,4.4,1.5460814638875242,12.81553398058244,4.5031498948180015,35.13821508835282
full_geometry,neutron,y_max,0.0236229066263446,0.0520794832859546,0.03507518739525678,0.028456576659610003,0.34333333333333343,32.40000000000001,3.9681002252958932,94.36893203883496,11.557573471735608,12.247222917579913
full_geometry,neutron,y_max,0.0520794832859546,0.1148153621496884,0.07732738670125561,0.0627358788637338,0.34333333333333416,126.0000000000002,7.574963160942234,366.9902912621356,22.06299949788995,6.011875524557319
full_geometry,neutron,y_max,0.1148153621496884,0.2531240049595366,0.17047734247755247,0.13830864280984817,0.34333333333333327,282.00000000000057,11.608623250810755,821.3592233009726,33.81152403148764,4.11653306766338
full_geometry,neutron,y_max,0.2531240049595366,0.5580417174769969,0.3758374042884445,0.30491771251746036,0.3433333333333333,728.8000000000003,19.278018743868955,2122.7184466019426,56.14956915689987,2.6451727145813595
full_geometry,neutron,y_max,0.5580417174769969,1.2302687708123825,0.8285778767396917,0.6722270533353856,0.3433333333333333,1501.199999999997,26.477165021175004,4372.427184466011,77.11795637235439,1.7637333480665505
full_geometry,neutron,y_max,1.2302687708123825,2.712272579332029,1.8266976357030043,1.4820038085196465,0.34333333333333316,2423.9999999999973,33.319404893769,7060.194174757277,97.04681037020102,1.3745629081587885
full_geometry,neutron,y_max,2.712272579332029,5.979524734045527,4.027170343254594,3.267252154713498,0.34333333333333377,3300.7999999999993,38.97876276241062,9613.980582524258,113.53037697789486,1.1808883531995464
full_geometry,neutron,y_max,5.979524734045527,13.1825673855641,8.878371908193666,7.203042651518573,0.3433333333333337,4102.800000000002,42.54995254449105,11949.902912621352,123.93190061502233,1.0370954602830027
full_geometry,neutron,y_max,13.1825673855641,29.06252429820869,19.57341781487664,15.87995691264459,0.3433333333333329,4516.800000000001,45.595176650378775,13155.728155339826,132.80148538945292,1.0094575064288602
full_geometry,neutron,y_max,29.06252429820869,64.07176188675551,43.151907682776596,35.009237588546824,0.3433333333333337,4859.599999999999,47.26894233742681,14154.174757281537,137.67653107988374,0.9726920392095402
full_geometry,neutron,y_max,64.07176188675551,141.25375446227554,95.13346898708754,77.18199257552003,0.3433333333333327,5075.6,48.21309998364994,14783.300970873814,140.42650480674766,0.9498995189465271
full_geometry,neutron,y_max,141.25375446227554,311.41055844467644,209.7329505812199,170.1568039824009,0.3433333333333337,5362.7999986676,48.58086109584257,15619.805821361926,141.49765367721122,0.9058861249331058
full_geometry,neutron,y_max,311.41055844467644,686.5412978224565,462.3810213992613,375.13073937778006,0.34333333333333377,6169.200000000002,52.49853637074295,17968.54368932037,152.90835836138703,0.8509780258500768
full_geometry,neutron,y_max,686.5412978224565,1513.5612484362102,1019.3734859388748,827.0199506137537,0.3433333333333328,7870.800000000003,59.155298136843705,22924.6601941748,172.29698486459358,0.751579231295976
