scenario,particle,side,tally_name,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,raw_current_per_source,std_current_per_source,outward_current_per_source,leakage_rate_per_s,leakage_std_per_s,rel_unc_percent,source_strength_per_s,normal_flip_applied,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,energy_group
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.05207948328595465,0.06345999009812872,0.0574888118997283,0.01138050681217407,0.08583333333333343,1.6333333333333348e-06,2.476121564209484e-07,1.6333333333333348e-06,19.600000000000016,2.9713458770513808,15.159927944139685,12000000.0,False,228.34951456310674,34.61762186855974,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.06345999009812872,0.07732738670125563,0.07005137539246359,0.013867396603126914,0.08583333333333343,2.500000000000004e-06,2.991068085870725e-07,2.500000000000004e-06,30.00000000000005,3.58928170304487,11.96427234348288,12000000.0,False,349.5145631067963,41.81687421023145,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.07732738670125563,0.09422511293807855,0.08535913392913663,0.01689772623682291,0.0858333333333332,3.1333333333333386e-06,3.6045720172750045e-07,3.1333333333333386e-06,37.600000000000065,4.325486420730005,11.503953246622334,12000000.0,False,438.0582524271859,50.39401655219431,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.09422511293807855,0.1148153621496884,0.10401197270305365,0.02059024921160986,0.08583333333333365,3.2333333333333385e-06,3.4317142874336073e-07,3.2333333333333385e-06,38.80000000000006,4.1180571449203285,10.61354934257815,12000000.0,False,452.0388349514553,47.977364795188116,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.1148153621496884,0.13990503141372942,0.12674086495022382,0.02508966926404102,0.08583333333333298,3.5666666666666726e-06,3.7005628947018275e-07,3.5666666666666726e-06,42.80000000000007,4.440675473642193,10.375409985145293,12000000.0,False,498.64077669903196,51.73602493563741,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.13990503141372942,0.1704773424775524,0.15443651755543789,0.030572311063822966,0.08583333333333343,5.033333333333343e-06,4.7571651839243867e-07,5.033333333333343e-06,60.40000000000012,5.7085982207092645,9.451321557465652,12000000.0,False,703.6893203883501,66.50794043544767,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.1704773424775524,0.20773037255725652,0.18818427635015889,0.037253030079704125,0.08583333333333343,7.200000000000015e-06,5.090923569163845e-07,7.200000000000015e-06,86.40000000000018,6.109108282996615,7.070727179394216,12000000.0,False,1006.6019417475737,71.17407708345563,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.20773037255725652,0.2531240049595366,0.22930665898187383,0.04539363240228006,0.08583333333333343,7.700000000000014e-06,5.598315561286787e-07,7.700000000000014e-06,92.40000000000018,6.7179786735441445,7.270539689982826,12000000.0,False,1076.504854368933,78.2677127014851,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.2531240049595366,0.3084371394418766,0.27941518214619415,0.05531313448234004,0.08583333333333343,1.0833333333333356e-05,6.343183093503658e-07,1.0833333333333356e-05,130.00000000000026,7.611819712204389,5.8552459324649035,12000000.0,False,1514.5631067961178,88.68139470529376,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.3084371394418766,0.3758374042884443,0.3404735142033633,0.06740026484656769,0.08583333333333298,1.3433333333333356e-05,7.327630294825449e-07,1.3433333333333356e-05,161.20000000000027,8.793156353790538,5.454811633865089,12000000.0,False,1878.0582524271954,102.44454004416203,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.3758374042884443,0.45796610200015886,0.41487442802351243,0.08212869771171455,0.08583333333333343,1.6199999999999997e-05,8.659803474074199e-07,1.6199999999999997e-05,194.39999999999998,10.391764168889038,5.345557700045802,12000000.0,False,2264.854368932036,121.06909711327022,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.45796610200015886,0.5580417174769969,0.5055335697126495,0.10007561547683808,0.08583333333333343,2.026666666666665e-05,9.442584029935522e-07,2.026666666666665e-05,243.1999999999998,11.331100835922626,4.659169751612926,12000000.0,False,2833.398058252422,132.0128252728848,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.5580417174769969,0.679986045003323,0.6160037178573234,0.12194432752632611,0.08583333333333343,2.4633333333333283e-05,1.0466257652007333e-06,2.4633333333333283e-05,295.5999999999994,12.5595091824088,4.248819073886612,12000000.0,False,3443.88349514562,146.32437882418003,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.679986045003323,0.8285778767396922,0.7506140109147139,0.14859183173636914,0.08583333333333344,2.8433333333333273e-05,1.0234903594042262e-06,2.8433333333333273e-05,341.1999999999993,12.281884312850716,3.599614394153207,12000000.0,False,3975.145631067948,143.08991432447417,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.8285778767396922,1.0096402755134493,0.9146395988343231,0.18106239877375707,0.08583333333333297,3.3666666666666586e-05,1.1972034799592857e-06,3.3666666666666586e-05,403.99999999999903,14.36644175951143,3.5560499404731343,12000000.0,False,4706.796116504863,167.376020499163,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,1.0096402755134493,1.2302687708123823,1.1145083672716891,0.22062849529893303,0.08583333333333339,3.836666666666662e-05,1.1366974139042747e-06,3.836666666666662e-05,460.3999999999994,13.640368966851296,2.9627213220789126,12000000.0,False,5363.883495145621,158.91692000215093,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,1.2302687708123823,1.4991094205968494,1.3580528355667716,0.2688406497844671,0.08583333333333347,4.356666666666662e-05,1.2307997720105112e-06,4.356666666666662e-05,522.7999999999995,14.769597264126135,2.8250951155558814,12000000.0,False,6090.873786407751,172.07297783447896,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,1.4991094205968494,1.8266976357030054,1.6548170999431833,0.327588215106156,0.08583333333333343,4.873333333333328e-05,1.4107355018789363e-06,4.873333333333328e-05,584.7999999999994,16.928826022547234,2.8948060914068487,12000000.0,False,6813.203883495131,197.22904103938504,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,1.8266976357030054,2.2258710447930077,2.016430850513641,0.3991734090900023,0.08583333333333343,5.259999999999994e-05,1.3910527921973523e-06,5.259999999999994e-05,631.1999999999992,16.692633506368228,2.6445870574094186,12000000.0,False,7353.786407766974,194.47728356933837,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,2.2258710447930077,2.7122725793320295,2.457065119186142,0.4864015345390218,0.08583333333333298,5.709999999999995e-05,1.5064965225898286e-06,5.709999999999995e-05,685.1999999999994,18.077958271077943,2.638347675288669,12000000.0,False,7982.912621359248,210.61698956595748,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,2.7122725793320295,3.304963493642342,2.993987618461291,0.5926909143103125,0.08583333333333343,6.29e-05,1.534359358139675e-06,6.29e-05,754.8,18.4123122976761,2.4393630495066376,12000000.0,False,8793.78640776698,214.5123762836048,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,3.304963493642342,4.027170343254594,3.648239433909942,0.7222068496122525,0.08583333333333343,6.646666666666664e-05,1.639991661433874e-06,6.646666666666664e-05,797.5999999999997,19.67989993720649,2.4673896611342148,12000000.0,False,9292.427184466005,229.28038761793943,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,4.027170343254594,4.907195194375853,4.445459588766036,0.8800248511212585,0.08583333333333343,7.199999999999999e-05,1.6834163914297082e-06,7.199999999999999e-05,863.9999999999999,20.200996697156498,2.3380783214301504,12000000.0,False,10066.019417475716,235.35141783094923,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,4.907195194375853,5.979524734045527,5.416889793927855,1.0723295396696741,0.08583333333333343,7.369999999999998e-05,1.635016083093142e-06,7.369999999999998e-05,884.3999999999997,19.620192997117705,2.2184750109811975,12000000.0,False,10303.689320388336,228.5847727819536,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,5.979524734045527,7.286181745132289,6.60059875782262,1.3066570110867621,0.08583333333333343,7.90666666666667e-05,1.68784317016582e-06,7.90666666666667e-05,948.8000000000004,20.254118041989837,2.1347088998724524,12000000.0,False,11053.980582524264,235.97030728531823,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,7.286181745132289,8.878371908193657,8.042974034769474,1.5921901630613675,0.08583333333333298,8.136666666666667e-05,1.6692499489433948e-06,8.136666666666667e-05,976.4000000000001,20.030999387320737,2.0515157094757,12000000.0,False,11375.533980582572,233.37086664839788,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,8.878371908193657,10.818490465580783,9.800539874857575,1.9401185573871267,0.08583333333333387,8.88333333333334e-05,1.8192935606517732e-06,8.88333333333334e-05,1066.0000000000007,21.83152272782128,2.047985246512314,12000000.0,False,12419.417475728085,254.34783760568322,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,10.818490465580783,13.1825673855641,11.942172313804612,2.364076919983317,0.08583333333333343,9.263333333333338e-05,1.9046960292797096e-06,9.263333333333338e-05,1111.6000000000006,22.856352351356517,2.0561669981429027,12000000.0,False,12950.679611650477,266.28760020997856,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,13.1825673855641,16.06324684833086,14.551798308424692,2.880679462766759,0.08583333333333254,9.156666666666672e-05,1.8486901164839757e-06,9.156666666666672e-05,1098.8000000000006,22.18428139780771,2.0189553510928007,12000000.0,False,12801.553398058379,258.4576473531019,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,16.06324684833086,19.573417814876617,17.731684692264295,3.5101709665457577,0.08583333333333343,9.376666666666664e-05,1.8924354097319744e-06,9.376666666666664e-05,1125.1999999999996,22.709224916783693,2.018238972341246,12000000.0,False,13109.126213592213,264.5734941761204,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,19.573417814876617,23.850637954651077,21.606445840020513,4.27722013977446,0.08583333333333343,9.246666666666677e-05,1.8691137010623504e-06,9.246666666666677e-05,1109.6000000000013,22.429364412748203,2.0213918901178967,12000000.0,False,12927.3786407767,261.31298344949334,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,23.850637954651077,29.06252429820869,26.327927094338918,5.211886343557612,0.08583333333333343,9.859999999999994e-05,1.9860494503347658e-06,9.859999999999994e-05,1183.1999999999994,23.83259340401719,2.014248935430798,12000000.0,False,13784.854368932016,277.66128237689895,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,29.06252429820869,35.41332186543297,32.0811553282364,6.35079756722428,0.08583333333333343,9.799999999999997e-05,2.044652050273821e-06,9.799999999999997e-05,1175.9999999999995,24.535824603285853,2.0863796431365533,12000000.0,False,13700.970873786388,285.85426722274747,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,35.41332186543297,43.15190768277659,39.09158983563622,7.738585817343619,0.08583333333333343,0.00010500000000000002,2.0218979571038896e-06,0.00010500000000000002,1260.0000000000002,24.262775485246674,1.925617102003704,12000000.0,False,14679.611650485424,282.6731124494755,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,43.15190768277659,52.58154385342938,47.63395770016442,9.429636170652792,0.08583333333333343,0.00010156666666666669,1.8933777296284795e-06,0.00010156666666666669,1218.8000000000004,22.720532755541754,1.86417236261419,12000000.0,False,14199.611650485425,264.7052359868939,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,52.58154385342938,64.07176188675551,58.043019885382606,11.49021803332613,0.08583333333333343,0.00010039999999999997,1.9138409202450564e-06,0.00010039999999999997,1204.7999999999997,22.966091042940675,1.9062160560209729,12000000.0,False,14036.504854368914,267.5661092381435,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,64.07176188675551,78.07284401379086,70.72668995134308,14.001082127035346,0.08583333333333343,0.00010213333333333337,1.8953521355086139e-06,0.00010213333333333337,1225.6000000000004,22.744225626103365,1.855762534766919,12000000.0,False,14278.8349514563,264.98126943033014,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,78.07284401379086,95.13346898708764,86.18201949780304,17.060624973296783,0.08583333333333343,0.0001040666666666667,1.976559025571493e-06,0.0001040666666666667,1248.8000000000004,23.718708306857916,1.8993200117599223,12000000.0,False,14549.126213592222,276.33446571096573,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,95.13346898708764,115.92221387398774,105.01467677660848,20.788744886900105,0.08583333333333254,0.00010753333333333336,2.0298076053905927e-06,0.00010753333333333336,1290.4000000000003,24.357691264687112,1.8876078165442582,12000000.0,False,15033.786407767133,283.7789273555806,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,115.92221387398774,141.25375446227554,127.96268180715678,25.331540588287794,0.08583333333333343,0.00010923333333333331,2.12676228104467e-06,0.00010923333333333331,1310.7999999999997,25.52114737253604,1.946990187102231,12000000.0,False,15271.456310679592,297.333755796536,epithermal_intermediate
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,141.25375446227554,172.12079102783665,155.92532813400996,30.867036565561108,0.08583333333333343,0.00011216666656999996,2.006932426925919e-06,0.00011216666656999996,1345.9999988399995,24.08318912311103,1.7892413925606416,12000000.0,False,15681.553384543666,280.58084415274953,epithermal_intermediate
