position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,tally_name,transport_group,statepoint_file,detector_model,detector_shape,tally_implementation,detector_effective_diameter_cm,detector_effective_length_cm,detector_volume_cm3,reference_offset_cm,gamma_flux_per_source [photon/cm2/source photon],u_mc_per_source [photon/cm2/source photon],gamma_flux_physical [photon/cm2/s],u_mc_physical [photon/cm2/s],rel_u_mc [%],mc_uncertainty_class
P2,P2_x199_h85,199.0,85.0,184.56128787428332,-175.56128787428332,44.0,183.21424945612296,-174.21424945612296,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x199_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.5613544751262426e-08,6.316000520128251e-09,0.11139133398640456,0.045060089467449466,40.45206018714984,very high
P2,P2_x300_h85,300.0,85.0,255.97907277412463,-246.97907277412463,44.0,254.63203435596427,-245.63203435596427,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x300_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.4272268875438917e-08,1.001923790660711e-08,0.10182230200603486,0.07148000622048874,70.20073678579003,very high
P2,P2_x321_h85,321.0,85.0,270.82831517904214,-261.82831517904214,44.0,269.48127676088177,-260.48127676088177,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x321_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,8.075714545216811e-09,3.4113822225167427e-09,0.057614374596926636,0.024337741528740357,42.24248149703706,very high
P3,P3_x0_h45,0.0,45.0,44.405,0.0,4.0,42.5,0.0,4.0,1.0,0.0,0.0,gamma_flux_lnd712_cell_P3_x0_h45,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,5.025360281702125e-07,2.8198411946057472e-08,3.585230608800943,0.20117524706973022,5.611221955315504,moderate
P3,P3_x5_h45,5.0,45.0,49.405,0.0,4.0,47.5,0.0,4.0,1.0,0.0,0.0,gamma_flux_lnd712_cell_P3_x5_h45,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.965330444964158e-07,2.5776632662239897e-08,2.828976090940188,0.18389760580743664,6.500500530788144,moderate
P3,P3_x57_h45,57.0,45.0,101.405,0.0,4.0,99.5,0.0,4.0,1.0,0.0,0.0,gamma_flux_lnd712_cell_P3_x57_h45,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,7.437577425907674e-08,1.6853047332768375e-08,0.5306172840936959,0.12023428721919792,22.659323550788645,high
P3,P3_x114_h45,114.0,45.0,158.405,0.0,4.0,156.5,0.0,4.0,1.0,0.0,0.0,gamma_flux_lnd712_cell_P3_x114_h45,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.004883841282075e-08,7.692261079452942e-09,0.21437669977378998,0.054878711827606175,25.59919612789735,very high
P3,P3_x176_h45,176.0,45.0,220.405,0.0,4.0,218.5,0.0,4.0,1.0,0.0,0.0,gamma_flux_lnd712_cell_P3_x176_h45,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.4748421639127093e-08,4.253734263751515e-09,0.10521930713033571,0.030347313285450216,28.841962671222344,very high
P3,P3_x199_h45,199.0,45.0,243.405,0.0,4.0,241.5,0.0,4.0,1.0,0.0,0.0,gamma_flux_lnd712_cell_P3_x199_h45,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.3075244138273236e-08,7.840012231954475e-09,0.09328239742883566,0.055932809294732835,59.96073303905326,very high
P3,P3_x225_h45,225.0,45.0,269.405,0.0,4.0,267.5,0.0,4.0,1.0,0.0,0.0,gamma_flux_lnd712_cell_P3_x225_h45,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.51545717278667e-08,7.972912815119406e-09,0.10811689386698904,0.0568809587048862,52.61061122868003,very high
