measurement_kind,position,distance_cm,height_cm,location_label,physical_point_id,duration_min,is_24h_measurement,replicate_label,is_short_measurement,is_long_measurement,file,file_name,input_format,source_column,original_rows,valid_rows,invalid_rows,valid_fraction,raw_numeric_mismatch_count,observed_duration_s,start_timestamp,end_timestamp,mean_mrem_h,median_mrem_h,std_mrem_h,sem_mrem_h,min_mrem_h,max_mrem_h,mean_uSv_h,median_uSv_h,std_uSv_h,sem_uSv_h,file_quality_status
scan,P2,321.0,65.0,,P2_x321_h65,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_321_y_65_10_min_LOMG_mrem.csv,NF_P2_x_321_y_65_10_min_LOMG_mrem.csv,decoded_raw,raw,601,601,0,1.0,0,601.117,2026-08-06 13:43:40.383,2026-08-06 13:53:40.551,0.5158069883527454,0.0,0.6905309956966076,0.0281673468337038,0.0,3.0,5.158069883527454,0.0,6.905309956966076,0.281673468337038,valid
scan,P2,0.0,85.0,,P2_x0_h85,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_0_y_85_10_min_LONG_mrem.csv,NF_P2_x_0_y_85_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.077,2026-03-05 16:20:18.965,2026-03-05 16:30:19.143,2.633943427620632,2.0,1.603884635334131,0.0654238188962543,0.0,9.0,26.339434276206322,20.0,16.03884635334131,0.654238188962543,valid
scan,P2,5.0,85.0,,P2_x5_h85,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_5_y_85_10_min_LONG_mrem.csv,NF_P2_x_5_y_85_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.059,2026-03-05 16:33:26.309,2026-03-05 16:43:25.482,2.5616666666666665,2.0,1.4988689855850654,0.06119107009944075,0.0,8.0,25.616666666666667,20.0,14.988689855850655,0.6119107009944075,valid
scan,P2,30.0,85.0,,P2_x30_h85,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_30_y_85_10_min_LONG_mrem.csv,NF_P2_x_30_y_85_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.1309999999999,2026-03-06 11:28:36.784,2026-03-06 11:38:36.963,2.4143094841930117,2.0,1.5534032200494179,0.06336463901607194,0.0,9.0,24.143094841930118,20.0,15.53403220049418,0.6336463901607193,valid
scan,P2,57.0,85.0,,P2_x57_h85,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_57_y_85_10_min_LONG_mrem.csv,NF_P2_x_57_y_85_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.134,2026-03-06 11:43:23.164,2026-03-06 11:53:23.342,2.0133111480865225,2.0,1.4153288845207839,0.05773246939312139,0.0,7.0,20.133111480865225,20.0,14.15328884520784,0.5773246939312139,valid
scan,P2,114.0,85.0,,P2_x114_h85,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_114_y_85_10_min_LONG_mrem.csv,NF_P2_x_114_y_85_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.137,2026-03-06 12:00:57.587,2026-03-06 12:10:56.775,1.345,1.0,1.0990852168309915,0.04486996608453565,0.0,7.0,13.45,10.0,10.990852168309914,0.44869966084535645,valid
scan,P2,156.0,85.0,,P2_x156_h85,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_156_y_85_10_min_LONG_mrem.csv,NF_P2_x_156_y_85_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.1469999999999,2026-03-06 12:17:29.020,2026-03-06 12:27:28.211,1.0633333333333332,1.0,1.0349431874379689,0.04225137869987722,0.0,6.0,10.633333333333333,10.0,10.34943187437969,0.4225137869987722,valid
scan,P2,176.0,85.0,,P2_x176_h85,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_176_y_85_10_min_LONG_mrem.csv,NF_P2_x_176_y_85_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.127,2026-03-06 12:48:28.702,2026-03-06 12:58:28.885,0.9800332778702163,1.0,0.9126521784835324,0.03722785886526034,0.0,5.0,9.800332778702163,10.0,9.126521784835324,0.3722785886526034,valid
scan,P2,199.0,85.0,,P2_x199_h85,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_199_y_85_10_min_LONG_mrem.csv,NF_P2_x_199_y_85_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.125,2026-03-06 13:02:13.068,2026-03-06 13:12:13.250,0.8019966722129783,1.0,0.8994791122212015,0.03669051828448001,0.0,5.0,8.019966722129784,10.0,8.994791122212014,0.36690518284480006,valid
scan,P2,300.0,85.0,,P2_x300_h85,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_300_y_85_10_min_LONG_mrem.csv,NF_P2_x_300_y_85_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.154,2026-03-06 13:23:34.580,2026-03-06 13:33:34.765,0.5906821963394343,0.0,0.7385885416336362,0.03012765502091178,0.0,3.0,5.906821963394343,0.0,7.385885416336362,0.3012765502091178,valid
